Latitude,Longitude,Stop Name,Stop Status
40.69236,-73.919251,at stop,GATES AV/EVERGREEN AV
40.69157,-73.987632,at stop,FULTON ST/SMITH ST
40.688511,-73.97994,at stop,FULTON ST/HUDSON AV
40.69245,-73.99035,approaching,JORALEMON ST/COURT ST
40.693304,-73.990609,approaching,CADMAN PLZ W/MONTAGUE ST
40.687528,-73.939199,approaching,GATES AV/MARCUS GARVEY BL
40.69194,-73.919664,approaching,GATES AV/EVERGREEN AV
40.688615,-73.929733,approaching,GATES AV/MALCOLM X BL
40.689657,-73.921906,approaching,GATES AV/BROADWAY
40.691578,-73.920018,approaching,GATES AV/BUSHWICK AV
40.696186,-73.990967,approaching,Tillary St (not used)
